hotel_name,nearby_places
Khách sạn The Passion Lux Airport,Bệnh Viện Đa Khoa Tâm Anh (678 m) | Sân vận động Quân Khu 7 (782 m) | Sân bay quốc tế Tân Sơn Nhất (1.73 km) | Bệnh Viện Đa Khoa Tâm Anh (678 m) | Chợ Phạm Văn Hai (686 m) | Sân vận động Quân Khu 7 (782 m) | Trung tâm Triển lãm và Hội chợ Tân Bình (823 m) | Unique Premium Outlets (848 m)
Vy Vy Airport Hotel,Bệnh Viện Đa Khoa Tâm Anh (470 m) | Sân vận động Quân Khu 7 (553 m) | Sân bay quốc tế Tân Sơn Nhất (1.71 km) | Bệnh Viện Đa Khoa Tâm Anh (470 m) | Sân vận động Quân Khu 7 (553 m) | Chợ Phạm Văn Hai (616 m) | Unique Premium Outlets (780 m)
Cozrum Homes - Selina Residence,Nhà thờ Đức Bà (2.10 km) | Bến tàu cao tốc Bạch Đằng (2.91 km) | Chợ Bến Thành / Chợ đêm Bến Thành (2.94 km) | Chùa Ngọc Hoàng (Phước Hải Tự) (741 m) | Trường Đại học Mở TP. Hồ Chí Minh - Cơ sở 4 (894 m) | Đền Trần Hưng Đạo (934 m) | Gem Center (1.01 km)
Khách sạn Meraki Boutique,Ga Metro Bến Thành (665 m) | Chợ Bến Thành / Chợ đêm Bến Thành (910 m) | Nhà thờ Đức Bà (1.64 km) | Bread & Butter Restaurant (149 m) | Phố Bùi Viện (235 m) | Công viên 23 tháng 9 (274 m) | Phố Tây ba lô (329 m)
Cozrum Homes The Gallery Residence,Bệnh Viện Đa Khoa Tâm Anh (2.34 km) | Sân bay quốc tế Tân Sơn Nhất (2.61 km) | Thảo cầm viên Sài Gòn (2.99 km) | Sushi Haru (914 m) | Đen Đá Coffee (914 m) | Bệnh viện Đa Khoa Hoàn Mỹ Sài Gòn (916 m) | Chewy Chewy Phan Xích Long (933 m)
YEN Living Binh Thanh,Landmark 81 (1.52 km) | Nhà thờ Đức Bà (2.21 km) | Bến tàu cao tốc Bạch Đằng (2.64 km) | Nhà sách Hải An (864 m) | Công viên Văn Thánh (927 m) | Gem Center (1.03 km) | Thảo cầm viên Sài Gòn (1.03 km)
The Passion Suites Hotel – Miễn Phí Ăn Sáng & Massage / Gội Đầu,Ga Metro Bến Thành (700 m) | Chợ Bến Thành / Chợ đêm Bến Thành (848 m) | Nhà thờ Đức Bà (1.27 km) | Song Ngư Seafood Restaurant (148 m) | Trung tâm Thương mại Zen Plaza (232 m) | Công viên 23 tháng 9 (336 m) | Công viên Tao Đàn (340 m)
K&T Hotel San Bay Tan Son Nhat,Sân bay quốc tế Tân Sơn Nhất (2.02 km) | Bệnh Viện Đa Khoa Tâm Anh (2.04 km) | Sân vận động Quân Khu 7 (2.19 km) | Trường THPT Nguyễn Chí Thanh (226 m) | Circle K Viet Nam (984 m) | Chợ hẻm phía sau Hoàng Hoa Thám (1.03 km) | Highlands Coffee (1.07 km) | Trung tâm Y tế quận Tân Bình (1.14 km)
Cozrum Homes - Sonata Residence,Trung tâm Hội chợ và Triển lãm Sài Gòn (1.13 km) | Trung Tâm Thương Mại SC Vivo City (2.93 km) | Siêu thị Go! (358 m) | Công An Quận 7 (532 m) | Trung tâm Hội chợ và Triển lãm Sài Gòn (1.13 km) | Trung tâm thương mại Saigon Paragon (1.14 km) | Bệnh viện FV (1.15 km)
Justay Pink Church,Chợ Bến Thành / Chợ đêm Bến Thành (2.45 km) | Ga Metro Bến Thành (2.53 km) | Bệnh Viện Đa Khoa Tâm Anh (2.62 km) | Hưng Phát USA (285 m) | Bệnh viện Quận 1 (307 m) | The Coffee House - Trần Quang Khải (328 m) | Chợ Tân Định (355 m)
"Lovera Hotel Airport ( Near Tan Son Nhat International Airport T1,T2)",Sân bay quốc tế Tân Sơn Nhất (561 m) | Bệnh Viện Đa Khoa Tâm Anh (1.06 km) | Sân vận động Quân Khu 7 (1.14 km) | Công viên nội khu Botanica Premier (294 m) | Sân bay quốc tế Tân Sơn Nhất (561 m) | Trung tâm giải trí Sài Gòn Superbowl (625 m) | Trung Tâm Bảo Hành Caska (696 m) | Công viên Gia Định (742 m)
The One Premium Hotel,Chợ Bến Thành / Chợ đêm Bến Thành (231 m) | Ga Metro Bến Thành (373 m) | Nhà thờ Đức Bà (689 m) | Pizza 4P's (60 m) | Nam Giao (160 m) | Chợ Bến Thành / Chợ đêm Bến Thành (231 m) | Đền Ấn Mariamman (237 m)
Level Saigon Hotel - Miễn phí massage chân hoặc gội đầu,Ga Metro Bến Thành (885 m) | Chợ Bến Thành / Chợ đêm Bến Thành (1.07 km) | Nhà thờ Đức Bà (1.54 km) | Song Ngư Seafood Restaurant (241 m) | Công viên 23 tháng 9 (354 m) | Trung tâm Thương mại Zen Plaza (377 m) | Siêu thị Co.op Mart Cống Quỳnh (424 m)
Anh Duy Hotel (Near Ben Thanh Market),Chợ Bến Thành / Chợ đêm Bến Thành (548 m) | Ga Metro Bến Thành (643 m) | Nhà thờ Đức Bà (1.19 km) | Ngân hàng Nhà nước Việt Nam - Chi nhánh TP.HCM (115 m) | Al Rahim Mosque (159 m) | Saigon Skydeck (289 m) | Tòa nhà Bitexco (332 m)
Muong Thanh Luxury Saigon Hotel,Sân vận động Quân Khu 7 (705 m) | Bệnh Viện Đa Khoa Tâm Anh (870 m) | Sân bay quốc tế Tân Sơn Nhất (2.20 km) | Jamiul Muslimin Mosque (172 m) | Sân vận động Quân Khu 7 (705 m) | Bệnh Viện Đa Khoa Tâm Anh (870 m) | Bệnh Viện An Sinh (978 m)
Muong Thanh Grand Saigon Centre Hotel,Nhà thờ Đức Bà (537 m) | Chợ Bến Thành / Chợ đêm Bến Thành (1.38 km) | Ga Metro Bến Thành (1.59 km) | Hoa Vien Brauhaus (131 m) | Đường sách Thành phố Hồ Chí Minh (353 m) | Diamond Plaza (416 m) | Bưu điện Trung tâm Sài Gòn (482 m)
Metrolux City Contemporary Hotel,Ga Metro Bến Thành (696 m) | Chợ Bến Thành / Chợ đêm Bến Thành (846 m) | Nhà thờ Đức Bà (1.28 km) | Song Ngư Seafood Restaurant (154 m) | Trung tâm Thương mại Zen Plaza (224 m) | Công viên 23 tháng 9 (325 m) | Cyclo Resto (346 m) | Công viên Tao Đàn (348 m)
Asian Ruby Hotel & Spa - Bui Thi Xuan,Ga Metro Bến Thành (933 m) | Chợ Bến Thành / Chợ đêm Bến Thành (1.13 km) | Nhà thờ Đức Bà (1.62 km) | Song Ngư Seafood Restaurant (315 m) | Siêu thị Co.op Mart Cống Quỳnh (346 m) | Công viên 23 tháng 9 (380 m) | Trung tâm Thương mại Zen Plaza (430 m)
Khách sạn SAZI RESIN Bùi Thị Xuân – Miễn phí gội đầu & làm nail,Ga Metro Bến Thành (705 m) | Chợ Bến Thành / Chợ đêm Bến Thành (854 m) | Nhà thờ Đức Bà (1.28 km) | Song Ngư Seafood Restaurant (145 m) | Trung tâm Thương mại Zen Plaza (233 m) | Công viên 23 tháng 9 (332 m) | Công viên Tao Đàn (349 m)
Cochin Zen Hotel,Chợ Bến Thành / Chợ đêm Bến Thành (331 m) | Ga Metro Bến Thành (456 m) | Nhà thờ Đức Bà (630 m) | Nam Giao (142 m) | Pizza 4P's (156 m) | Sân vận động Tao Đàn (227 m) | Đền Ấn Mariamman (268 m)
Eastin Grand Hotel Saigon,Sân vận động Quân Khu 7 (697 m) | Bệnh Viện Đa Khoa Tâm Anh (857 m) | Sân bay quốc tế Tân Sơn Nhất (2.24 km) | Jamiul Muslimin Mosque (266 m) | Sân vận động Quân Khu 7 (697 m) | Bệnh Viện Đa Khoa Tâm Anh (857 m) | Chợ Phạm Văn Hai (920 m)
La Vela Saigon Hotel,Chợ Bến Thành / Chợ đêm Bến Thành (2.33 km) | Ga Metro Bến Thành (2.39 km) | Bệnh Viện Đa Khoa Tâm Anh (2.62 km) | Sori Garden (129 m) | An Phu Plaza (151 m) | Chùa Vĩnh Nghiêm (385 m) | Hưng Phát USA (437 m)
Hotel Nikko Saigon,Ga Metro Bến Thành (1.71 km) | Chợ Bến Thành / Chợ đêm Bến Thành (1.94 km) | Bệnh viện Chợ Rẫy (2.59 km) | Sân Thể thao Đa năng Lam Sơn (360 m) | Chợ Bàn Cờ (516 m) | Mega GS Cinemas (525 m) | Saigon Culinary Arts Centre (530 m)
Fusion Original Saigon Centre,Chợ Bến Thành / Chợ đêm Bến Thành (313 m) | Ga Metro Bến Thành (551 m) | Nhà thờ Đức Bà (724 m) | Toà nhà Saigon Centre (16 m) | Takashimaya (35 m) | Cloud9 Bar (105 m) | Quảng trường Ủy ban Nhân dân TP.HCM (297 m)
The Reverie Saigon,Chợ Bến Thành / Chợ đêm Bến Thành (691 m) | Nhà thờ Đức Bà (831 m) | Ga Metro Bến Thành (916 m) | Phố Đi Bộ Nguyễn Huệ (81 m) | Bến Bạch Đằng (237 m) | Tòa nhà Bitexco (258 m) | Ciao Bella (274 m)
My Villa Airport Hotel,Sân bay quốc tế Tân Sơn Nhất (866 m) | Bệnh Viện Đa Khoa Tâm Anh (1.31 km) | Sân vận động Quân Khu 7 (1.35 km) | Công viên Gia Định (331 m) | Công viên nội khu Botanica Premier (457 m) | Sân bay quốc tế Tân Sơn Nhất (866 m) | Trung Tâm Bảo Hành Caska (925 m)
Caravelle Saigon,Nhà thờ Đức Bà (592 m) | Chợ Bến Thành / Chợ đêm Bến Thành (749 m) | Ga Metro Bến Thành (994 m) | Nhà hát Thành phố Hồ Chí Minh (56 m) | Nhà hát Thành phố (67 m) | Ciao Bella (154 m) | Quảng trường Ủy ban Nhân dân TP.HCM (193 m)
An Lam Retreats Saigon River,Trường Đại học Nguyễn Tất Thành - Cơ sở quận 12 (1.18 km) | Diamond Park (2.86 km) | Trường Đại học Nguyễn Tất Thành - Cơ sở quận 12 (1.18 km) | Ngân Hàng Sacombank (2.12 km) | Diamond Park (2.86 km) | Khu Du Lịch Bến Xưa (3.05 km) | Vuon lan cay canh (3.06 km)
Sunshine Airport Hotel,Sân bay quốc tế Tân Sơn Nhất (582 m) | Bệnh Viện Đa Khoa Tâm Anh (1.11 km) | Sân vận động Quân Khu 7 (1.19 km) | Công viên nội khu Botanica Premier (304 m) | Sân bay quốc tế Tân Sơn Nhất (582 m) | Công viên Gia Định (679 m) | Trung tâm giải trí Sài Gòn Superbowl (696 m) | Trung Tâm Bảo Hành Caska (739 m)
Windsor Plaza Hotel,Sân vận động Thống Nhất (1.25 km) | Bệnh viện Chợ Rẫy (1.49 km) | Ga Metro Bến Thành (2.89 km) | Chợ An Đông (232 m) | Trường THCS & THPT Sương Nguyệt Anh (544 m) | Trung tâm Hội Nghị Tiệc cưới The Adora Grand View (613 m) | Bệnh Viện Hòa Hảo (619 m)
Royal Hotel Saigon,Chợ Bến Thành / Chợ đêm Bến Thành (547 m) | Nhà thờ Đức Bà (645 m) | Ga Metro Bến Thành (790 m) | Quảng trường Ủy ban Nhân dân TP.HCM (130 m) | Phố Đi Bộ Nguyễn Huệ (135 m) | Cloud9 Bar (212 m) | Nhà hát Thành phố (220 m)
N Retreat Ky Dong,Ga Metro Bến Thành (2.18 km) | Chợ Bến Thành / Chợ đêm Bến Thành (2.19 km) | Bệnh Viện Đa Khoa Tâm Anh (2.73 km) | Miến gà Kỳ Đồng (88 m) | Chùa Pháp Hoa (276 m) | Nhà thờ Dòng Chúa Cứu Thế | Đền Đức Mẹ Hằng Cứu Giúp (402 m) | An Phu Plaza (435 m) | Sori Garden (521 m)
HOME Hotel,Sân vận động Quân Khu 7 (1.13 km) | Bệnh Viện Đa Khoa Tâm Anh (1.29 km) | Sân bay quốc tế Tân Sơn Nhất (2.53 km) | Jamiul Muslimin Mosque (273 m) | Bệnh Viện An Sinh (596 m) | Chùa Long Vĩnh (846 m) | Chùa Vĩnh Nghiêm (945 m)
Vintage Park View - Hoang Phi Hotel Bui Vien Walking Street,Ga Metro Bến Thành (717 m) | Chợ Bến Thành / Chợ đêm Bến Thành (950 m) | Nhà thờ Đức Bà (1.61 km) | Công viên 23 tháng 9 (184 m) | Bread & Butter Restaurant (214 m) | Trung tâm Thương mại Zen Plaza (347 m) | Phố Bùi Viện (349 m)
Khách sạn và Căn hộ The Passion - 5 phút đến sân bay Tân Sơn Nhất,Sân bay quốc tế Tân Sơn Nhất (630 m) | Bệnh Viện Đa Khoa Tâm Anh (1.06 km) | Sân vận động Quân Khu 7 (1.13 km) | Công viên nội khu Botanica Premier (244 m) | Sân bay quốc tế Tân Sơn Nhất (630 m) | Trung tâm giải trí Sài Gòn Superbowl (663 m) | Công viên Gia Định (667 m)
Tan Son Nhat Saigon Hotel,Sân vận động Quân Khu 7 (413 m) | Bệnh Viện Đa Khoa Tâm Anh (576 m) | Sân bay quốc tế Tân Sơn Nhất (1.85 km) | Sân vận động Quân Khu 7 (413 m) | Jamiul Muslimin Mosque (493 m) | Bệnh Viện Đa Khoa Tâm Anh (576 m) | Trung Tâm Bảo Hành Caska (695 m)
The Cozy Nest 1 – Thao Dien,Landmark 81 (1.24 km) | Bệnh viện Vinmec Central Park (1.41 km) | Sân Bóng Rổ SSA (1.12 km) | Shalom Coffee (1.13 km) | Landmark 81 (1.24 km) | Vincom Mega Mall Thảo Điền (1.30 km) | Công viên Thảo Điền (1.30 km)
Rex Hotel Saigon,Nhà thờ Đức Bà (431 m) | Chợ Bến Thành / Chợ đêm Bến Thành (520 m) | Ga Metro Bến Thành (763 m) | Ủy ban Nhân dân Thành phố Hồ Chí Minh (65 m) | Quảng trường Ủy ban Nhân dân TP.HCM (125 m) | Bảo tàng Thành phố Hồ Chí Minh (141 m) | Trung tâm Thương mại Parkson (228 m)
Glenwood City Resort,Landmark 81 (1.98 km) | Bệnh viện Vinmec Central Park (2.13 km) | Shalom Coffee (566 m) | Sân Bóng Rổ SSA (808 m) | Saigon Outcast (836 m) | Công viên Thảo Điền (932 m) | Vincom Mega Mall Thảo Điền (1.29 km)
Cochin Sang Hotel,Chợ Bến Thành / Chợ đêm Bến Thành (152 m) | Ga Metro Bến Thành (177 m) | Nhà thờ Đức Bà (881 m) | Chợ Bến Thành / Chợ đêm Bến Thành (152 m) | Đền Ấn Mariamman (173 m) | Pizza 4P's (174 m) | Ga Metro Bến Thành (177 m)
Lanura Apartments and Hotel,Bệnh Viện Đa Khoa Tâm Anh (2.47 km) | Sân bay quốc tế Tân Sơn Nhất (2.66 km) | Aeon Mall Tân Phú (2.79 km) | Circle K Viet Nam (341 m) | Highlands Coffee (430 m) | Trường THPT Nguyễn Chí Thanh (441 m) | Trung tâm Y tế quận Tân Bình (489 m)
Hilton Saigon,Nhà thờ Đức Bà (853 m) | Chợ Bến Thành / Chợ đêm Bến Thành (875 m) | Ga Metro Bến Thành (1.11 km) | Tượng Đức Thánh Trần Hưng Đạo (88 m) | Bến tàu Saigon Waterbus (149 m) | Ciao Bella (152 m) | ROS Yacht Club – Dining & River Lounge (173 m)
La Paix Saigon Boutique Hotel,Nhà thờ Đức Bà (658 m) | Chợ Bến Thành / Chợ đêm Bến Thành (868 m) | Ga Metro Bến Thành (1.11 km) | Ciao Bella (65 m) | Nhà hát Thành phố Hồ Chí Minh (148 m) | Nhà hát Thành phố (171 m) | Bảo tàng Tôn Đức Thắng (218 m)
Yen Nam Hotel Nguyen Trong Tuyen,Sân vận động Quân Khu 7 (1.04 km) | Bệnh Viện Đa Khoa Tâm Anh (1.20 km) | Sân bay quốc tế Tân Sơn Nhất (2.41 km) | Jamiul Muslimin Mosque (232 m) | Bệnh Viện An Sinh (713 m) | Chùa Long Vĩnh (964 m) | Bệnh viện Đa Khoa Hoàn Mỹ Sài Gòn (1.01 km)
Sonder Airport Hote,Sân bay quốc tế Tân Sơn Nhất (364 m) | Bệnh Viện Đa Khoa Tâm Anh (1.33 km) | Sân vận động Quân Khu 7 (1.43 km) | Sân bay quốc tế Tân Sơn Nhất (364 m) | Công viên nội khu Botanica Premier (571 m) | Công viên Gia Định (832 m) | Trung tâm giải trí Sài Gòn Superbowl (840 m)
Khách Sạn The Blue Airport Gần Sân Bay Tân Sơn Nhất,Bệnh Viện Đa Khoa Tâm Anh (448 m) | Sân vận động Quân Khu 7 (606 m) | Sân bay quốc tế Tân Sơn Nhất (1.35 km) | Bệnh Viện Đa Khoa Tâm Anh (448 m) | Trung tâm giải trí Sài Gòn Superbowl (506 m) | Sân vận động Quân Khu 7 (606 m) | Trung Tâm Bảo Hành Caska (652 m)
Mari Queen Hotel - Bui Thi Xuan,Ga Metro Bến Thành (1.06 km) | Chợ Bến Thành / Chợ đêm Bến Thành (1.27 km) | Nhà thờ Đức Bà (1.78 km) | Siêu thị Co.op Mart Cống Quỳnh (180 m) | Mega GS Cinemas (470 m) | Song Ngư Seafood Restaurant (476 m) | Công viên 23 tháng 9 (486 m)
Havana Airport Hotel,Sân bay quốc tế Tân Sơn Nhất (575 m) | Bệnh Viện Đa Khoa Tâm Anh (924 m) | Sân vận động Quân Khu 7 (1.03 km) | Công viên nội khu Botanica Premier (329 m) | Trung tâm giải trí Sài Gòn Superbowl (438 m) | Sân bay quốc tế Tân Sơn Nhất (575 m) | Trung Tâm Bảo Hành Caska (590 m)
M Village Living Cách Mạng Tháng 8,Ga Sài Gòn (1.29 km) | Bệnh Viện Đa Khoa Tâm Anh (1.74 km) | Sân vận động Thống Nhất (2.97 km) | Cong Vien Le Thi Rieng (86 m) | Khu vui chơi giải trí Thỏ Trắng 4.3 (86 m) | Hồ bơi Lê Thị Riêng (86 m) | Cho Thuê Xe Tự Lái Giá Rẻ TPHCM (325 m)
Signature by M Village Le Thanh Ton,Nhà thờ Đức Bà (560 m) | Chợ Bến Thành / Chợ đêm Bến Thành (1.15 km) | Ga Metro Bến Thành (1.39 km) | Sài Gòn Square 2 (308 m) | Trung tâm Thương mại Vincom Center (386 m) | Trung tâm Thương mại Parkson (403 m) | Bảo tàng Tôn Đức Thắng (411 m)
Venus Hotel Go Vap,Chợ Hạnh Thông Tây (713 m) | Bệnh viện Gò Vấp (1.05 km) | Sân bay quốc tế Tân Sơn Nhất (2.80 km) | Công viên Làng hoa Gò Vấp (578 m) | Chợ Hạnh Thông Tây (713 m) | Bệnh viện Gò Vấp (1.05 km) | Galaxy Quang Trung (1.11 km)
Cozrum Homes - Spring Residence,Landmark 81 (1.23 km) | Gem Center (1.97 km) | Công viên Văn Thánh (544 m) | Phòng Khám Nha Khoa Trung Kiên (897 m) | Trường THCS Lê Văn Tám (1.04 km) | Bệnh viện Vinmec Central Park (1.15 km) | Landmark 81 (1.23 km)
Cozrum Homes - June Corner,Nhà thờ Đức Bà (1.61 km) | Chợ Bến Thành / Chợ đêm Bến Thành (2.38 km) | Ga Metro Bến Thành (2.52 km) | Đền Trần Hưng Đạo (224 m) | The Coffee House - Trần Quang Khải (402 m) | Chợ Tân Định (483 m) | Bệnh viện Quận 1 (502 m)
Sheraton Saigon Grand Opera Hotel,Nhà thờ Đức Bà (643 m) | Chợ Bến Thành / Chợ đêm Bến Thành (715 m) | Ga Metro Bến Thành (959 m) | Nhà hát Thành phố Hồ Chí Minh (119 m) | Nhà hát Thành phố (121 m) | Ciao Bella (160 m) | Phố Đi Bộ Nguyễn Huệ (176 m)
Somerset Ho Chi Minh City,Nhà thờ Đức Bà (1.23 km) | Chợ Bến Thành / Chợ đêm Bến Thành (2.06 km) | Ga Metro Bến Thành (2.28 km) | Gem Center (92 m) | Nhà sách Hải An (194 m) | Bảo tàng Lịch sử Việt Nam (272 m) | Trường Đại học Mở TP. Hồ Chí Minh - Cơ sở 4 (313 m)
Bonita Signature Hotel,Ga Metro Bến Thành (890 m) | Chợ Bến Thành / Chợ đêm Bến Thành (1.08 km) | Nhà thờ Đức Bà (1.55 km) | Song Ngư Seafood Restaurant (250 m) | Công viên 23 tháng 9 (356 m) | Trung tâm Thương mại Zen Plaza (383 m) | Siêu thị Co.op Mart Cống Quỳnh (414 m)
LOTTE HOTEL SAIGON,Nhà thờ Đức Bà (819 m) | Chợ Bến Thành / Chợ đêm Bến Thành (1.19 km) | Ga Metro Bến Thành (1.43 km) | Bảo tàng Tôn Đức Thắng (145 m) | Sài Gòn Square 2 (313 m) | Ciao Bella (330 m) | ROS Yacht Club – Dining & River Lounge (347 m)
Prague Saigon Airport Hotel,Sân bay quốc tế Tân Sơn Nhất (1.13 km) | Bệnh Viện Đa Khoa Tâm Anh (1.71 km) | Sân vận động Quân Khu 7 (1.73 km) | Công viên Gia Định (373 m) | Công viên nội khu Botanica Premier (874 m) | Sân bay quốc tế Tân Sơn Nhất (1.13 km) | Trung Tâm Bảo Hành Caska (1.33 km)
Venus Secret Hotel Aeon Bình Tân,AEON MALL Bình Tân (1.86 km) | Bến xe Miền Tây (2.40 km) | Bệnh viện Chuyên Khoa Ngoại Thần Kinh Quốc Tế (2.89 km) | AEON MALL Bình Tân (1.86 km) | Trạm Y Tế Phường Tân Thới Hòa Quận Tân Phú (2.35 km) | Bến xe Miền Tây (2.40 km) | Huong Nghiem Buddhist Temple (2.57 km) | Nhà Thuốc Trường Thịnh (2.67 km)
Silverland Mây Hotel,Nhà thờ Đức Bà (511 m) | Chợ Bến Thành / Chợ đêm Bến Thành (1.01 km) | Ga Metro Bến Thành (1.25 km) | Trung tâm Thương mại Vincom Center (266 m) | Trung tâm Thương mại Parkson (268 m) | Nhà hát Thành phố Hồ Chí Minh (285 m) | Nhà hát Thành phố (301 m)
Golda Hotel,Bệnh viện Chợ Rẫy (202 m) | Cổng Chào Công Viên Đầm Sen (697 m) | Công viên Nước Đầm Sen (2.72 km) | Bệnh viện Chợ Rẫy (202 m) | Chùa Quán Âm (314 m) | Karaoke ICOOL (409 m) | Chợ phụ tùng xe Tân Thành (444 m)
Mia Saigon Luxury Boutique Hotel,Vincom Mega Mall Thảo Điền (1.40 km) | Bệnh Viện Quốc Tế Mỹ (AIH) (1.87 km) | Restaurant 13 (871 m) | Công viên Thảo Điền (1.18 km) | Chùa Thiền Tịnh (1.32 km) | Sân Bóng Rổ SSA (1.36 km) | Vincom Mega Mall Thảo Điền (1.40 km)
Cozrum Homes - Autumn House,Nhà thờ Đức Bà (2.10 km) | Bến tàu cao tốc Bạch Đằng (2.86 km) | Chợ Bến Thành / Chợ đêm Bến Thành (2.94 km) | Chùa Ngọc Hoàng (Phước Hải Tự) (757 m) | Trường Đại học Mở TP. Hồ Chí Minh - Cơ sở 4 (868 m) | Gem Center (956 m) | Đền Trần Hưng Đạo (996 m)
